epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.10920138657093048,3.457197904586792,5e-05,0.17083333432674408,3.4478771686553955
1,0.11187499761581421,3.4575581550598145,5e-05,0.17222222685813904,3.447519540786743
2,0.11020833253860474,3.4580204486846924,5e-05,0.17083333432674408,3.4471895694732666
3,0.11375000327825546,3.457019329071045,5e-05,0.17055556178092957,3.4468791484832764
4,0.11086805909872055,3.457037925720215,5e-05,0.17222222685813904,3.446579933166504
5,0.11281249672174454,3.455739974975586,5e-05,0.1711111068725586,3.4462878704071045
6,0.11100694537162781,3.4568655490875244,5e-05,0.1713888943195343,3.4460039138793945
7,0.11118055880069733,3.4555680751800537,5e-05,0.1711111068725586,3.445720672607422
8,0.11260416358709335,3.455019235610962,5e-05,0.17194443941116333,3.4454345703125
9,0.11395833641290665,3.4546725749969482,5e-05,0.1711111068725586,3.445157766342163
10,0.11093749850988388,3.4547321796417236,5e-05,0.1713888943195343,3.4448821544647217
11,0.11326389014720917,3.453967571258545,5e-05,0.17222222685813904,3.4446115493774414
