epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9604166746139526,0.010004697367548943,1e-06,0.9780555367469788,0.009516854770481586
1,0.9620485901832581,0.009584537707269192,1e-06,0.9780555367469788,0.009511755779385567
2,0.9623264074325562,0.01000509038567543,1e-06,0.9780555367469788,0.009508921764791012
3,0.9623264074325562,0.01006999146193266,5e-07,0.9780555367469788,0.00950688123703003
4,0.9624999761581421,0.009889193810522556,5e-07,0.9780555367469788,0.009506027214229107
5,0.9613541960716248,0.009734469465911388,2.5e-07,0.9780555367469788,0.009504657238721848
6,0.9616319537162781,0.009876812808215618,2.5e-07,0.9780555367469788,0.009505259804427624
7,0.9602430462837219,0.010479678399860859,1.25e-07,0.9780555367469788,0.009504830464720726
8,0.9616319537162781,0.010132181458175182,1.25e-07,0.9780555367469788,0.009504318237304688
9,0.9618750214576721,0.009806456975638866,6.25e-08,0.9780555367469788,0.009504011832177639
10,0.9605903029441833,0.009397605434060097,6.25e-08,0.9780555367469788,0.009503817185759544
11,0.9635763764381409,0.009540637023746967,3.125e-08,0.9780555367469788,0.0095036830753088
12,0.9629513621330261,0.009223591536283493,3.125e-08,0.9780555367469788,0.00950357411056757
13,0.9628124833106995,0.00986005924642086,1.5625e-08,0.9780555367469788,0.009503529407083988
14,0.9601389169692993,0.010103872045874596,1.5625e-08,0.9780555367469788,0.009503484703600407
15,0.9606597423553467,0.010546190664172173,7.8125e-09,0.9780555367469788,0.009503441862761974
16,0.9604513645172119,0.010198738425970078,7.8125e-09,0.9780555367469788,0.009503415785729885
17,0.9615625143051147,0.009685271419584751,3.90625e-09,0.9780555367469788,0.00950340274721384
18,0.9602430462837219,0.00963757373392582,3.90625e-09,0.9780555367469788,0.009503395296633244
19,0.9594444632530212,0.01077196653932333,1.953125e-09,0.9780555367469788,0.009503389708697796
