epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9320138692855835,0.21592943370342255,5e-05,0.976111114025116,0.09307073801755905
1,0.9362499713897705,0.2043670266866684,5e-05,0.9766666889190674,0.09289350360631943
2,0.937951385974884,0.199330136179924,5e-05,0.9769444465637207,0.0936964750289917
3,0.9361805319786072,0.2105172723531723,5e-05,0.9763888716697693,0.093512624502182
4,0.9373263716697693,0.20019206404685974,5e-05,0.9763888716697693,0.09359985589981079
5,0.9366666674613953,0.20350462198257446,2.5e-05,0.9769444465637207,0.0928010493516922
6,0.9376736283302307,0.2012653648853302,2.5e-05,0.977222204208374,0.09321226924657822
7,0.9385069608688354,0.19841666519641876,2.5e-05,0.9775000214576721,0.09319067746400833
8,0.9371874928474426,0.20293526351451874,1.25e-05,0.9775000214576721,0.09308582544326782
9,0.9391319155693054,0.19420744478702545,1.25e-05,0.9775000214576721,0.09315527975559235
10,0.9366666674613953,0.19950349628925323,1.25e-05,0.9775000214576721,0.0930643305182457
11,0.9387847185134888,0.1990252286195755,6.25e-06,0.9775000214576721,0.09288883954286575
12,0.9378819465637207,0.19623936712741852,6.25e-06,0.9777777791023254,0.09290196001529694
13,0.9384027719497681,0.19904184341430664,6.25e-06,0.9775000214576721,0.09292399138212204
14,0.9404861330986023,0.1915094554424286,3.125e-06,0.9775000214576721,0.09290214627981186
15,0.9388889074325562,0.19151896238327026,3.125e-06,0.9775000214576721,0.0928855761885643
16,0.9402083158493042,0.19519822299480438,3.125e-06,0.9775000214576721,0.09282568097114563
17,0.9391666650772095,0.1969461739063263,1.5625e-06,0.9775000214576721,0.09284808486700058
18,0.9382638931274414,0.19958817958831787,1.5625e-06,0.9775000214576721,0.09286872297525406
19,0.9363194704055786,0.20037709176540375,1.5625e-06,0.9775000214576721,0.09288828819990158
20,0.9386805295944214,0.1996646672487259,7.8125e-07,0.9775000214576721,0.09287156164646149
21,0.9381250143051147,0.19630540907382965,7.8125e-07,0.9775000214576721,0.09290371090173721
22,0.9398611187934875,0.19532491266727448,7.8125e-07,0.9775000214576721,0.09291256219148636
