epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9950346946716309,0.014150090515613556,5e-05,0.992222249507904,0.03089737519621849
1,0.9948263764381409,0.015422847121953964,5e-05,0.992222249507904,0.03099324181675911
2,0.9952777624130249,0.013241389766335487,5e-05,0.9916666746139526,0.030899472534656525
3,0.9948611259460449,0.012307705357670784,5e-05,0.991944432258606,0.0304292980581522
4,0.9948263764381409,0.013049277476966381,5e-05,0.992222249507904,0.030238991603255272
5,0.9957291483879089,0.012547606602311134,5e-05,0.991944432258606,0.030685242265462875
6,0.9946874976158142,0.01355676632374525,5e-05,0.991944432258606,0.030619366094470024
7,0.9947916865348816,0.013324146158993244,5e-05,0.991944432258606,0.030362719669938087
8,0.9948958158493042,0.01240263506770134,2.5e-05,0.991944432258606,0.030365996062755585
9,0.9952083230018616,0.012565290555357933,2.5e-05,0.992222249507904,0.03037339821457863
10,0.995555579662323,0.011446313001215458,2.5e-05,0.992222249507904,0.030388005077838898
