epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.3021527826786041,2.4526867866516113,0.001,0.5419444441795349,1.5752373933792114
1,0.7372569441795349,0.8658306002616882,0.001,0.8077777624130249,0.6477490067481995
2,0.8654860854148865,0.4401247799396515,0.001,0.878333330154419,0.41515398025512695
3,0.9055555462837219,0.30344390869140625,0.001,0.9049999713897705,0.3236701786518097
4,0.9260416626930237,0.24056334793567657,0.001,0.9211111068725586,0.2730564773082733
5,0.9355902671813965,0.20939220488071442,0.001,0.9236111044883728,0.24665766954421997
6,0.9467014074325562,0.1707649528980255,0.001,0.9444444179534912,0.19616703689098358
7,0.9490625262260437,0.16584129631519318,0.001,0.9436110854148865,0.18637967109680176
8,0.9554166793823242,0.14571413397789001,0.001,0.9547222256660461,0.14323613047599792
9,0.9528472423553467,0.15006929636001587,0.001,0.9461110830307007,0.19875656068325043
10,0.9602083563804626,0.13125446438789368,0.001,0.949999988079071,0.1601114720106125
11,0.9637152552604675,0.11913888901472092,0.001,0.9522222280502319,0.16317662596702576
12,0.9795138835906982,0.0652473121881485,0.0005,0.9741666913032532,0.09182851761579514
13,0.9834374785423279,0.049726683646440506,0.0005,0.9694444537162781,0.09517760574817657
14,0.9838194251060486,0.04885638877749443,0.0005,0.9758333563804626,0.09300726652145386
15,0.9822569489479065,0.054086968302726746,0.0005,0.9777777791023254,0.07651276141405106
16,0.9848611354827881,0.04865119233727455,0.0005,0.9719444513320923,0.08360569924116135
17,0.9848611354827881,0.04612787440419197,0.0005,0.9766666889190674,0.0880623608827591
18,0.9824652671813965,0.050940241664648056,0.0005,0.9788888692855835,0.07844754308462143
19,0.9894097447395325,0.029290467500686646,0.00025,0.9838888645172119,0.05655375123023987
20,0.9913194179534912,0.025169728323817253,0.00025,0.9819444417953491,0.05760244280099869
21,0.991527795791626,0.02431492693722248,0.00025,0.9833333492279053,0.04789990186691284
22,0.992222249507904,0.022486135363578796,0.00025,0.98416668176651,0.060240499675273895
23,0.9918749928474426,0.02345357835292816,0.00025,0.9836111068725586,0.06585884839296341
24,0.9914583563804626,0.022697605192661285,0.00025,0.9852777719497681,0.04693137854337692
25,0.991944432258606,0.02134189009666443,0.00025,0.9788888692855835,0.07738902419805527
26,0.991944432258606,0.023293614387512207,0.00025,0.9844444394111633,0.06217508390545845
27,0.9916319251060486,0.02358972281217575,0.00025,0.9844444394111633,0.06134824454784393
28,0.9942013621330261,0.0144037501886487,0.000125,0.9869444370269775,0.05239281430840492
29,0.9942013621330261,0.01436165813356638,0.000125,0.9852777719497681,0.05577998608350754
