epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9963541626930237,0.0008611180237494409,1e-05,0.991944432258606,0.006278844550251961
1,0.9963541626930237,0.0010009276447817683,1e-05,0.991944432258606,0.006282317452132702
2,0.996423602104187,0.0009586713276803493,1e-05,0.991944432258606,0.006295043043792248
3,0.9965624809265137,0.0009846229804679751,1e-05,0.991944432258606,0.006286825519055128
4,0.9962847232818604,0.0011882031103596091,5e-06,0.991944432258606,0.006291900761425495
5,0.9968402981758118,0.00100109598133713,5e-06,0.991944432258606,0.006282492075115442
6,0.996631920337677,0.0008221319876611233,5e-06,0.991944432258606,0.006274625658988953
7,0.996631920337677,0.0008295979350805283,2.5e-06,0.991944432258606,0.006272022146731615
8,0.9960764050483704,0.0011355095775797963,2.5e-06,0.991944432258606,0.0062640649266541
9,0.9964930415153503,0.0009079479495994747,2.5e-06,0.991944432258606,0.006261843256652355
10,0.9963889122009277,0.0008934616344049573,1.25e-06,0.991944432258606,0.0062591442838311195
11,0.9960764050483704,0.0011800425127148628,1.25e-06,0.991944432258606,0.006256811320781708
12,0.996874988079071,0.0008718419703654945,1.25e-06,0.991944432258606,0.006255688611418009
13,0.9965624809265137,0.000921466969884932,6.25e-07,0.991944432258606,0.006254889070987701
14,0.996215283870697,0.00095114775467664,6.25e-07,0.991944432258606,0.006254497449845076
15,0.9968402981758118,0.0010402824264019728,6.25e-07,0.991944432258606,0.006253961473703384
16,0.996666669845581,0.0011124656302854419,3.125e-07,0.991944432258606,0.006253284402191639
17,0.9965972304344177,0.0007326974882744253,3.125e-07,0.991944432258606,0.006252537481486797
18,0.9965624809265137,0.0008749254629947245,3.125e-07,0.991944432258606,0.006252151448279619
19,0.9963194727897644,0.0009291701135225594,1.5625e-07,0.991944432258606,0.006252088584005833
20,0.9965277910232544,0.0008150410139933228,1.5625e-07,0.991944432258606,0.0062518916092813015
21,0.9963194727897644,0.0010046621318906546,1.5625e-07,0.991944432258606,0.006251777522265911
22,0.9962499737739563,0.0009560729959048331,7.8125e-08,0.991944432258606,0.006251768209040165
23,0.9967013597488403,0.0007683524745516479,7.8125e-08,0.991944432258606,0.006251745857298374
24,0.9960416555404663,0.000904071843251586,7.8125e-08,0.991944432258606,0.006251753773540258
25,0.9962499737739563,0.0008905797149054706,3.90625e-08,0.991944432258606,0.006251688115298748
26,0.9964930415153503,0.0009811912896111608,3.90625e-08,0.991944432258606,0.006251630838960409
27,0.9964583516120911,0.0010680948616936803,3.90625e-08,0.991944432258606,0.006251571234315634
28,0.9965972304344177,0.0007863580249249935,1.953125e-08,0.991944432258606,0.006251559127122164
29,0.9963889122009277,0.0008201051969081163,1.953125e-08,0.991944432258606,0.006251522805541754
