epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9968402981758118,0.0003683888935483992,1e-06,0.992222249507904,0.005698269698768854
1,0.996631920337677,0.0004671188071370125,1e-06,0.992222249507904,0.005697384476661682
2,0.996874988079071,0.0004333325196057558,1e-06,0.992222249507904,0.005696710664778948
3,0.9959027767181396,0.0005889085005037487,5e-07,0.992222249507904,0.005696780513972044
4,0.9963194727897644,0.0005480266991071403,5e-07,0.992222249507904,0.005695872008800507
5,0.9969097375869751,0.00031118025071918964,2.5e-07,0.992222249507904,0.005695801228284836
6,0.9963541626930237,0.0004973867908120155,2.5e-07,0.992222249507904,0.005695546045899391
7,0.9965972304344177,0.0006051784148439765,1.25e-07,0.992222249507904,0.005695704836398363
8,0.9964583516120911,0.0006899608997628093,1.25e-07,0.992222249507904,0.005695621017366648
9,0.9968055486679077,0.0005186437629163265,6.25e-08,0.992222249507904,0.0056956056505441666
10,0.9962499737739563,0.00045659829629585147,6.25e-08,0.992222249507904,0.005695577245205641
11,0.9968402981758118,0.0005707269883714616,3.125e-08,0.992222249507904,0.0056956056505441666
12,0.9963194727897644,0.0005858399672433734,3.125e-08,0.992222249507904,0.0056955995969474316
13,0.9967361092567444,0.0005276142037473619,1.5625e-08,0.992222249507904,0.005695580039173365
14,0.9964930415153503,0.0004976011696271598,1.5625e-08,0.992222249507904,0.005695561412721872
15,0.996631920337677,0.0006327657029032707,7.8125e-09,0.992222249507904,0.005695543251931667
16,0.9967013597488403,0.0006052791140973568,7.8125e-09,0.992222249507904,0.005695531610399485
17,0.9963194727897644,0.0007806604844518006,3.90625e-09,0.992222249507904,0.005695528816431761
18,0.9965624809265137,0.000507386343088001,3.90625e-09,0.992222249507904,0.0056955283507704735
19,0.996874988079071,0.0005255714058876038,1.953125e-09,0.992222249507904,0.005695528816431761
