epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9602430462837219,0.01054307445883751,1e-06,0.976111114025116,0.008917572908103466
1,0.9617708325386047,0.010653531178832054,1e-06,0.976111114025116,0.008920758962631226
2,0.9629513621330261,0.01081957295536995,1e-06,0.976111114025116,0.008909995667636395
3,0.9631944298744202,0.01041638758033514,5e-07,0.976111114025116,0.00890554953366518
4,0.9612846970558167,0.011210186406970024,5e-07,0.976111114025116,0.008902783505618572
5,0.9610416889190674,0.011716067790985107,2.5e-07,0.976111114025116,0.008901676163077354
6,0.9627777934074402,0.010644343681633472,2.5e-07,0.976111114025116,0.008901669643819332
7,0.9625347256660461,0.010538116097450256,1.25e-07,0.976111114025116,0.008901035413146019
8,0.9606249928474426,0.011497389525175095,1.25e-07,0.976111114025116,0.008900628425180912
9,0.9620833396911621,0.010651902295649052,6.25e-08,0.976111114025116,0.008900435641407967
10,0.9634722471237183,0.010189453139901161,6.25e-08,0.976111114025116,0.008900201879441738
11,0.9622569680213928,0.010779031552374363,3.125e-08,0.976111114025116,0.008899874985218048
12,0.9637500047683716,0.009884494356811047,3.125e-08,0.976111114025116,0.008899868465960026
13,0.9620485901832581,0.010685938410460949,1.5625e-08,0.976111114025116,0.008899830281734467
14,0.9627430438995361,0.011033882386982441,1.5625e-08,0.976111114025116,0.008899829350411892
15,0.9619097113609314,0.010484396480023861,7.8125e-09,0.976111114025116,0.008899790234863758
16,0.9612500071525574,0.01102763693779707,7.8125e-09,0.976111114025116,0.00889980886131525
17,0.9619097113609314,0.010534580796957016,3.90625e-09,0.976111114025116,0.008899806998670101
18,0.9627083539962769,0.011059721931815147,3.90625e-09,0.976111114025116,0.008899805136024952
19,0.9625694155693054,0.010637657716870308,1.953125e-09,0.976111114025116,0.008899805136024952
