epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8799305558204651,0.39666807651519775,5e-05,0.9511111378669739,0.17717012763023376
1,0.8782291412353516,0.3995371162891388,5e-05,0.95333331823349,0.17751669883728027
2,0.8812152743339539,0.39805588126182556,5e-05,0.9541666507720947,0.17698867619037628
3,0.8826736211776733,0.3874141573905945,5e-05,0.9536111354827881,0.17686501145362854
4,0.8828819394111633,0.38771939277648926,5e-05,0.9530555605888367,0.1770942062139511
5,0.8799653053283691,0.3896943926811218,5e-05,0.9536111354827881,0.1765357404947281
6,0.8840277791023254,0.3859576880931854,5e-05,0.9527778029441833,0.17749793827533722
7,0.8827083110809326,0.38447391986846924,5e-05,0.95333331823349,0.17640645802021027
8,0.8837500214576721,0.3813728988170624,5e-05,0.9524999856948853,0.1770043820142746
9,0.8841666579246521,0.3841123580932617,5e-05,0.9527778029441833,0.17733359336853027
10,0.8847569227218628,0.37944433093070984,5e-05,0.9522222280502319,0.17645010352134705
11,0.8850347399711609,0.3858967125415802,2.5e-05,0.95333331823349,0.1767989993095398
12,0.8859027624130249,0.38139867782592773,2.5e-05,0.95333331823349,0.17646656930446625
