epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6865624785423279,1.3122472763061523,0.001,0.8819444179534912,0.5885544419288635
1,0.8715277910232544,0.5466272830963135,0.001,0.9227777719497681,0.36616402864456177
2,0.9039930701255798,0.3997661769390106,0.001,0.9399999976158142,0.27607840299606323
3,0.9202777743339539,0.32815438508987427,0.001,0.9486111402511597,0.23501084744930267
4,0.9279166460037231,0.28675907850265503,0.001,0.956944465637207,0.20271733403205872
5,0.9334027767181396,0.25676429271698,0.001,0.9583333134651184,0.18494819104671478
6,0.9371874928474426,0.2378704845905304,0.001,0.9641666412353516,0.1619231402873993
7,0.9418055415153503,0.21882255375385284,0.001,0.964722216129303,0.15140299499034882
8,0.9435416460037231,0.20752421021461487,0.001,0.9661111235618591,0.14785197377204895
9,0.9443749785423279,0.19750499725341797,0.001,0.9697222113609314,0.1345215141773224
10,0.9443749785423279,0.1900065839290619,0.001,0.9666666388511658,0.13169465959072113
11,0.9486111402511597,0.18091696500778198,0.001,0.9649999737739563,0.13588909804821014
12,0.9504166841506958,0.17406991124153137,0.001,0.9711111187934875,0.11738327145576477
13,0.9483680725097656,0.16994181275367737,0.001,0.9697222113609314,0.11596612632274628
14,0.9509721994400024,0.16845904290676117,0.001,0.9738888740539551,0.11138564348220825
15,0.9517708420753479,0.1612369269132614,0.001,0.9736111164093018,0.11107716709375381
16,0.9512152671813965,0.1646798700094223,0.001,0.9722222089767456,0.10763777792453766
17,0.9528124928474426,0.15518932044506073,0.001,0.9766666889190674,0.09647545218467712
18,0.9550694227218628,0.1509089320898056,0.001,0.9744444489479065,0.10717073827981949
19,0.9544791579246521,0.1516592800617218,0.001,0.9758333563804626,0.0985107421875
