epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9236805438995361,0.24563537538051605,5e-05,0.9788888692855835,0.0964646264910698
1,0.9262499809265137,0.23535647988319397,5e-05,0.9777777791023254,0.09637798368930817
2,0.9264583587646484,0.23952582478523254,5e-05,0.9763888716697693,0.09700257331132889
3,0.926111102104187,0.23833782970905304,5e-05,0.9775000214576721,0.09550788253545761
4,0.9264236092567444,0.23635351657867432,5e-05,0.977222204208374,0.09662583470344543
5,0.9277430772781372,0.23297952115535736,5e-05,0.976111114025116,0.09718481451272964
6,0.9269791841506958,0.2345518171787262,5e-05,0.9769444465637207,0.09601578861474991
7,0.9285069704055786,0.23069851100444794,2.5e-05,0.9766666889190674,0.09618353098630905
8,0.9268749952316284,0.23596736788749695,2.5e-05,0.977222204208374,0.09647496789693832
9,0.9289583563804626,0.229469895362854,2.5e-05,0.9766666889190674,0.09656824171543121
10,0.9269791841506958,0.2356838881969452,1.25e-05,0.977222204208374,0.09604600071907043
