epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7704166769981384,0.09284860640764236,1e-06,0.8536111116409302,0.06201127544045448
1,0.7680208086967468,0.09485875815153122,1e-06,0.8536111116409302,0.06199312582612038
2,0.7693402767181396,0.09365095943212509,1e-06,0.8536111116409302,0.06197560206055641
3,0.7695485949516296,0.09317055344581604,5e-07,0.8536111116409302,0.061967428773641586
4,0.7700347304344177,0.093543641269207,5e-07,0.8536111116409302,0.06195998564362526
5,0.7692708373069763,0.09308278560638428,2.5e-07,0.8536111116409302,0.06195579841732979
6,0.7678124904632568,0.09289734065532684,2.5e-07,0.8536111116409302,0.06195204332470894
7,0.7701388597488403,0.09226983040571213,1.25e-07,0.8536111116409302,0.06195029243826866
8,0.7686111330986023,0.09386064857244492,1.25e-07,0.8536111116409302,0.06194819137454033
9,0.7710069417953491,0.09253384917974472,6.25e-08,0.8536111116409302,0.06194746121764183
10,0.7712152600288391,0.09233541786670685,6.25e-08,0.8536111116409302,0.06194669380784035
11,0.7701736092567444,0.09257606416940689,3.125e-08,0.8536111116409302,0.06194639950990677
12,0.7693402767181396,0.09387930482625961,3.125e-08,0.8536111116409302,0.06194604933261871
13,0.7702083587646484,0.09327519685029984,1.5625e-08,0.8536111116409302,0.06194594129920006
14,0.7699305415153503,0.09343023598194122,1.5625e-08,0.8536111116409302,0.061945829540491104
15,0.7718750238418579,0.0928754061460495,7.8125e-09,0.8536111116409302,0.06194579228758812
16,0.7665625214576721,0.09215358644723892,7.8125e-09,0.8536111116409302,0.06194576993584633
17,0.7680902481079102,0.09372169524431229,3.90625e-09,0.8536111116409302,0.06194574385881424
18,0.7735763788223267,0.09343990683555603,3.90625e-09,0.8536111116409302,0.06194572150707245
19,0.7719097137451172,0.09253139048814774,1.953125e-09,0.8536111116409302,0.061945706605911255
