epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.12041666358709335,0.7298086881637573,1e-06,0.16583333909511566,0.7284793257713318
1,0.11833333224058151,0.7303711175918579,1e-06,0.16555555164813995,0.7284767031669617
2,0.11881944537162781,0.7300488948822021,1e-06,0.16527777910232544,0.7284737825393677
3,0.12034722417593002,0.7300731539726257,5e-07,0.16527777910232544,0.7284722328186035
4,0.12038194388151169,0.7301223278045654,5e-07,0.16500000655651093,0.7284708619117737
5,0.11961805820465088,0.7297399044036865,2.5e-07,0.16527777910232544,0.7284702062606812
6,0.12048611044883728,0.7300252914428711,2.5e-07,0.16527777910232544,0.7284696698188782
7,0.11753471940755844,0.730063796043396,1.25e-07,0.16527777910232544,0.7284692525863647
8,0.12270833551883698,0.7298080921173096,1.25e-07,0.16527777910232544,0.7284689545631409
9,0.12135417014360428,0.7299550771713257,6.25e-08,0.16527777910232544,0.7284688353538513
10,0.11725694686174393,0.7299379706382751,6.25e-08,0.16527777910232544,0.7284687161445618
11,0.11829861253499985,0.7302464246749878,3.125e-08,0.16527777910232544,0.7284687161445618
12,0.12020833045244217,0.7299414277076721,3.125e-08,0.16527777910232544,0.7284687161445618
13,0.11927083134651184,0.7298848628997803,1.5625e-08,0.16527777910232544,0.7284687161445618
14,0.1197916641831398,0.7300975918769836,1.5625e-08,0.16527777910232544,0.7284687161445618
15,0.12034722417593002,0.7299847602844238,7.8125e-09,0.16527777910232544,0.728468656539917
16,0.1245138868689537,0.729548454284668,7.8125e-09,0.16527777910232544,0.728468656539917
17,0.1227777749300003,0.729813277721405,3.90625e-09,0.16527777910232544,0.728468656539917
18,0.12131944298744202,0.7298398613929749,3.90625e-09,0.16527777910232544,0.728468656539917
19,0.11729166656732559,0.7300624847412109,1.953125e-09,0.16527777910232544,0.728468656539917
