epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.1727430522441864,3.251866102218628,0.001,0.3791666626930237,2.9081337451934814
1,0.3697222173213959,2.7408828735351562,0.001,0.5036110877990723,2.5053324699401855
2,0.4528124928474426,2.4260807037353516,0.001,0.5727777481079102,2.2347984313964844
3,0.49878472089767456,2.2080299854278564,0.001,0.612500011920929,2.028735399246216
4,0.5363194346427917,2.0417118072509766,0.001,0.6424999833106995,1.8705731630325317
5,0.5585416555404663,1.9146902561187744,0.001,0.6561111211776733,1.7401748895645142
6,0.581458330154419,1.8039499521255493,0.001,0.6730555295944214,1.6355504989624023
7,0.5976735949516296,1.720065951347351,0.001,0.6911110877990723,1.5477361679077148
8,0.6104860901832581,1.646975040435791,0.001,0.7138888835906982,1.4667437076568604
9,0.6222569346427917,1.5893110036849976,0.001,0.7200000286102295,1.4006050825119019
10,0.6301736235618591,1.530326008796692,0.001,0.7275000214576721,1.3423259258270264
11,0.6447569727897644,1.4788427352905273,0.001,0.7311111092567444,1.2951107025146484
12,0.6474999785423279,1.4391756057739258,0.001,0.7427777647972107,1.2490174770355225
13,0.6545138955116272,1.397436261177063,0.001,0.7450000047683716,1.2130159139633179
14,0.661145806312561,1.3616677522659302,0.001,0.7566666603088379,1.1790509223937988
15,0.6671527624130249,1.3373099565505981,0.001,0.7655555605888367,1.1401567459106445
16,0.6727430820465088,1.307370901107788,0.001,0.7680555582046509,1.1099815368652344
17,0.6793403029441833,1.28399658203125,0.001,0.7711111307144165,1.0885125398635864
18,0.6813541650772095,1.2614119052886963,0.001,0.7769444584846497,1.0580761432647705
19,0.6861458420753479,1.2386088371276855,0.001,0.7788888812065125,1.0415446758270264
